(838537989.0, 2121.0)
profit, budget restant
départ, arrivée, numéro du camion
(26015, 118123, 1444)
(119226, 56372, 1512)
(1693, 3146, 2385)
(6081, 109493, 2815)
(39002, 3101, 2228)
(22781, 161320, 2912)
(103496, 63429, 2564)
(197291, 7056, 3142)
(90283, 9386, 3142)
(1233, 160179, 2779)
(275, 35671, 3260)
(39474, 51028, 3260)
(34899, 104636, 3260)
(9218, 21481, 3142)
(47067, 20316, 3260)
(94698, 1986, 3260)
(59721, 108777, 3260)
(5259, 70578, 3260)
(47186, 38330, 2815)
(109925, 144698, 3518)
(128853, 32338, 3518)
(34923, 117659, 3518)
(17487, 10449, 3361)
(10648, 107502, 3518)
(24775, 30308, 3518)
(127686, 164325, 3518)
(107306, 109464, 3518)
(37589, 5703, 3518)
(29804, 29811, 3518)
(132042, 132042, 2316)
(4756, 134589, 3518)
(2943, 90159, 3518)
(160528, 11273, 3518)
(40239, 22429, 3518)
(115167, 8192, 3518)
(74307, 58961, 3518)
(184712, 156374, 3518)
(102850, 156292, 3405)
(133888, 180007, 3518)
(16218, 29832, 3518)
(154874, 194631, 3518)
(15744, 86012, 3361)
(3640, 127548, 3518)
(10312, 33258, 3518)
(74666, 88336, 3518)
(1005, 36189, 3361)
(29640, 145945, 3518)
(156548, 2788, 3518)
(17316, 142751, 3518)
(66607, 193735, 3518)
(48000, 32200, 3518)
(17268, 107472, 3518)
(115584, 127001, 3518)
(23069, 70398, 3518)
(17893, 101119, 3361)
(15901, 28966, 3518)
(131533, 7365, 3518)
(103303, 1843, 3518)
(29437, 43606, 3518)
(22165, 103591, 3361)
(192258, 124699, 3518)
(118908, 102967, 3518)
(171897, 109890, 3518)
(95741, 53110, 3518)
(80922, 80211, 3518)
(156205, 7096, 3518)
(70242, 89535, 3518)
(77353, 84963, 3518)
(1, 42725, 3518)
(4025, 23399, 3518)
(64525, 14259, 3518)
(85581, 144928, 3518)
(163698, 104342, 3405)
(124388, 84040, 3518)
(5303, 92825, 3518)
(23988, 77675, 3518)
(57899, 157893, 3518)
(69563, 113070, 3405)
(139713, 98578, 3518)
(98945, 125, 3518)
(4036, 172267, 3518)
(151747, 54217, 3518)
(95146, 30057, 3361)
(18711, 194748, 3361)
(23010, 52987, 3518)
(14914, 75748, 3518)
(19431, 99673, 3518)
(88886, 93339, 3518)
(37589, 137914, 3518)
(29795, 1350, 3518)
(140619, 175964, 3518)
(22504, 124805, 3518)
(1548, 165892, 3518)
(56454, 50742, 3518)
(116990, 17763, 3518)
(127346, 176250, 3518)
(49407, 6726, 3518)
(151417, 139446, 3518)
(3387, 128933, 3518)
(11474, 138007, 3518)
(4112, 1632, 3518)
(12799, 9089, 3518)
(67299, 124953, 3518)
(173555, 31495, 3518)
(86837, 29637, 3538)
